,pl_name,pl_rade,pl_bmasse,pl_orbper,pl_eqt,pl_orbsmax,pl_insol,pl_orbeccen,st_teff,st_rad,tipo_planeta,x,y,cluster_kmeans,densidad_gcm3,habitable
2627,Kepler-136 b,2.05,19.80000000000001,11.578900000000004,951.0,0.10599999999999998,257.984,0.0,6165.0,1.355,Sub-Neptuno,-2.6895359,7.5994453,0.0,12.663542316565355,False
2628,Kepler-136 c,1.9899999999999998,4.6200000000000045,16.399235000000004,847.0,0.133,162.04399999999998,0.0,6165.0,1.355,Super-Tierra,-3.646244,6.551694,0.0,3.2302366863229603,False
2629,Kepler-1360 b,3.4,11.5,40.528641300000004,933.0,0.2866,82.56399999999996,0.0,6778.0,1.83,Sub-Neptuno,-2.840809,8.248823,0.0,1.612176877671484,False
2630,Kepler-1361 b,0.8600000000000003,0.5659999999999741,3.575549560000013,1061.0,0.04304000000000002,186.06900000000002,0.0,5131.0,0.79,Terrestre,0.19786592,7.2051706,0.0,4.903121737708399,False
2631,Kepler-1362 b,2.6,7.269999999999982,136.205626,248.0,0.4626,1.011000000000024,0.0,4857.0,0.74,Sub-Neptuno,-4.514513,-0.7804082,0.0,2.279113563950836,False
2632,Kepler-1363 b,1.25,2.1000000000000227,2.941940939999995,988.0,0.0363,191.919,0.0,4839.0,0.72,Super-Tierra,0.40277162,6.859976,0.0,5.924352000000065,False
2633,Kepler-1364 b,2.15,5.269999999999982,13.321962369999994,1299.0,0.12839999999999996,672.06,0.0,6805.0,1.79,Sub-Neptuno,0.6144636,10.626673,0.0,2.9217754411561145,False
2634,Kepler-1365 b,0.9199999999999999,0.7210000000000036,7.699934850000005,969.0,0.07839000000000002,456.25,0.0,5770.0,1.05,Terrestre,-1.747013,7.6866965,0.0,5.101799437001753,False
2635,Kepler-1365 c,0.7999999999999998,0.4370000000000118,4.774680050000001,1137.0,0.05700999999999995,864.037,0.0,5770.0,1.05,Terrestre,-0.09661305,9.378472,0.0,4.70287109375013,False
2636,Kepler-1366 b,1.4300000000000002,2.6299999999999955,2.1645709679999925,783.0,0.02729999999999999,134.981,0.0,4070.0,0.6,Super-Tierra,-0.5595986,0.92231154,0.0,4.955634125764685,False
2637,Kepler-1367 b,0.9199999999999999,0.7210000000000036,1.5740902720000065,998.0,0.02360000000000001,225.233,0.0,4106.0,0.6,Terrestre,-0.11210589,1.3260056,0.0,5.101799437001753,False
